DEVICE,CVE,Score
Layer 2 Switches (Ethernet) 3,CVE-2017-6606,6.4
Layer 2 Switches (Ethernet) 3,CVE-2017-3803,4.7
Layer 2 Switches (Ethernet) 3,CVE-2016-1425,6.5
Layer 2 Switches (Ethernet) 4,CVE-2016-6473,6.5
Layer 2 Switches (Ethernet) 4,CVE-2017-6606,6.4
Layer 2 Switches (Ethernet) 4,CVE-2017-3803,4.7
Layer 2 Switches (Ethernet) 4,CVE-2016-1425,6.5
Layer 2 Switches (Ethernet) 5,CVE-2016-6473,6.5
Layer 2 Switches (Ethernet) 5,CVE-2017-6606,6.4
Layer 2 Switches (Ethernet) 5,CVE-2017-3803,4.7
Layer 2 Switches (Ethernet) 5,CVE-2016-1425,6.5
Layer 2 Switches (Ethernet) 6,CVE-2016-6473,6.5
Layer 2 Switches (Ethernet) 6,CVE-2017-6606,6.4
Layer 2 Switches (Ethernet) 6,CVE-2017-3803,4.7
Layer 2 Switches (Ethernet) 6,CVE-2016-1425,6.5
"Server Rack, Server #1",CVE-2012-2697,4.9
"Server Rack, Server #1",CVE-2012-3440,5.6
"Server Rack, Server #1",CVE-2010-0727,4.9
"Server Rack, Server #2",CVE-2012-2697,4.9
"Server Rack, Server #2",CVE-2012-3440,5.6
"Server Rack, Server #2",CVE-2010-0727,4.9
"Server Rack, Server #3",CVE-2015-7833,4.9
"Server Rack, Server #4",CVE-2015-7833,4.9
"Server Rack, Server #5",CVE-2013-1935,5.7
"Server Rack, Server #5",CVE-2013-2224,6.9
"Server Rack, Server #5",CVE-2013-2188,4.7
"Server Rack, Server #6",CVE-2013-1935,5.7
"Server Rack, Server #6",CVE-2013-2224,6.9
"Server Rack, Server #6",CVE-2013-2188,4.7
"Server Rack, Server #7",CVE-2015-7833,4.9
"Server Rack, Server #8",CVE-2015-7833,4.9
"Server Rack, Server #9",CVE-2015-7833,4.9
"Server Rack, Server #10",CVE-2015-7833,4.9
"Server Rack, Server #11",CVE-2017-8543,9.8
"Server Rack, Server #11",CVE-2014-0301,9.3
"Server Rack, Server #11",CVE-2014-0323,6.6
"Server Rack, Server #11",CVE-2014-0315,6.9
"Server Rack, Server #11",CVE-2013-5058,6.9
"Server Rack, Server #11",CVE-2013-5056,9.3
"Server Rack, Server #12",CVE-2017-8543,9.8
"Server Rack, Server #12",CVE-2014-0301,9.3
"Server Rack, Server #12",CVE-2014-0323,6.6
"Server Rack, Server #12",CVE-2014-0315,6.9
"Server Rack, Server #12",CVE-2013-5058,6.9
"Server Rack, Server #12",CVE-2013-5056,9.3
Engineering & Production SAN 1,CVE-2012-2697,4.9
Engineering & Production SAN 1,CVE-2012-3440,5.6
Engineering & Production SAN 1,CVE-2010-0727,4.9
Engineering & Production SAN 2,CVE-2015-7833,4.9
Engineering & Production SAN 3,CVE-2015-7833,4.9
Test SAN,CVE-2015-7833,4.9
Company Management SAN,CVE-2012-2697,4.9
Company Management SAN,CVE-2012-3440,5.6
Company Management SAN,CVE-2010-0727,4.9
Engineering & Production SAN Archive 1,CVE-2015-7833,4.9
Engineering & Production SAN Archive 2,CVE-2015-7833,4.9
Test SAN Archive,CVE-2015-7833,4.9
Company Management SAN Archive,CVE-2015-7833,4.9
Engineering Workstation 1,CVE-2013-1935,5.7
Engineering Workstation 1,CVE-2013-2224,6.9
Engineering Workstation 1,CVE-2013-2188,4.7
Engineering Workstation 1,CVE-2023-47804,8.8
Engineering Workstation 1,CVE-2022-37401,8.8
Engineering Workstation 1,CVE-2021-33035,7.8
Engineering Workstation 1,CVE-2020-13958,7.8
Engineering Workstation 1,CVE-2017-12607,7.8
Engineering Workstation 2,CVE-2013-1935,5.7
Engineering Workstation 2,CVE-2013-2224,6.9
Engineering Workstation 2,CVE-2013-2188,4.7
Engineering Workstation 2,CVE-2023-47804,8.8
Engineering Workstation 2,CVE-2022-37401,8.8
Engineering Workstation 2,CVE-2021-33035,7.8
Engineering Workstation 2,CVE-2020-13958,7.8
Engineering Workstation 2,CVE-2017-12607,7.8
Engineering Workstation 3,CVE-2013-1935,5.7
Engineering Workstation 3,CVE-2013-2224,6.9
Engineering Workstation 3,CVE-2013-2188,4.7
Engineering Workstation 3,CVE-2023-47804,8.8
Engineering Workstation 3,CVE-2022-37401,8.8
Engineering Workstation 3,CVE-2021-33035,7.8
Engineering Workstation 3,CVE-2020-13958,7.8
Engineering Workstation 3,CVE-2017-12607,7.8
Production Workstation 1,CVE-2013-1935,5.7
Production Workstation 1,CVE-2013-2224,6.9
Production Workstation 1,CVE-2013-2188,4.7
Production Workstation 1,CVE-2023-47804,8.8
Production Workstation 1,CVE-2022-37401,8.8
Production Workstation 1,CVE-2021-33035,7.8
Production Workstation 1,CVE-2020-13958,7.8
Production Workstation 1,CVE-2017-12607,7.8
Production Workstation 2,CVE-2013-1935,5.7
Production Workstation 2,CVE-2013-2224,6.9
Production Workstation 2,CVE-2013-2188,4.7
Production Workstation 2,CVE-2023-47804,8.8
Production Workstation 2,CVE-2022-37401,8.8
Production Workstation 2,CVE-2021-33035,7.8
Production Workstation 2,CVE-2020-13958,7.8
Production Workstation 2,CVE-2017-12607,7.8
Company Management Workstation 1,CVE-2013-2224,6.9
Company Management Workstation 1,CVE-2013-2188,4.7
Company Management Workstation 1,CVE-2023-47804,8.8
Company Management Workstation 1,CVE-2022-37401,8.8
Company Management Workstation 1,CVE-2021-33035,7.8
Company Management Workstation 1,CVE-2020-13958,7.8
Company Management Workstation 2,CVE-2013-2224,6.9
Company Management Workstation 2,CVE-2013-2188,4.7
Company Management Workstation 2,CVE-2023-47804,8.8
Company Management Workstation 2,CVE-2022-37401,8.8
Company Management Workstation 2,CVE-2021-33035,7.8
Company Management Workstation 2,CVE-2020-13958,7.8
Test Engineering Laptop 1,CVE-2012-2697,4.9
Test Engineering Laptop 1,CVE-2012-3440,5.6
Test Engineering Laptop 1,CVE-2010-0727,4.9
Test Engineering Laptop 1,CVE-2023-47804,8.8
Test Engineering Laptop 1,CVE-2022-37401,8.8
Test Engineering Laptop 1,CVE-2021-33035,7.8
Test Engineering Laptop 1,CVE-2020-13958,7.8
Test Engineering Laptop 1,CVE-2017-12607,7.8
Test Engineering Laptop 2,CVE-2012-2697,4.9
Test Engineering Laptop 2,CVE-2012-3440,5.6
Test Engineering Laptop 2,CVE-2010-0727,4.9
Test Engineering Laptop 2,CVE-2023-47804,8.8
Test Engineering Laptop 2,CVE-2022-37401,8.8
Test Engineering Laptop 2,CVE-2021-33035,7.8
Test Engineering Laptop 2,CVE-2020-13958,7.8
Test Engineering Laptop 2,CVE-2017-12607,7.8
